2008/02/19 06:29:45 -0800 870 | 1203431385 | 76114 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 695 fileConnector::fetchRecordData@174 - Failed read file /z/dr/hansdairy/us1/yahoo_site_admin/.interview.draft for resource profile: fileConnector
2008/02/19 06:30:04 -0800 964 | 1203431404 | 74678 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 695 fileConnector::fetchRecordData@174 - Failed read file /z/dr/hansdairy/us1/yahoo_site_admin/.interview.draft for resource profile: fileConnector
2009/09/21 09:25:44 -0700 790 | 1253550344 | 63273 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 695 fileConnector::fetchRecordData@174 - Failed read file /z/dr/hansdairy/us1/yahoo_site_admin/.interview.draft for resource profile: fileConnector
2009/09/21 09:25:47 -0700 703 | 1253550347 | 63165 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 695 fileConnector::fetchRecordData@174 - Failed read file /z/dr/hansdairy/us1/yahoo_site_admin/.interview.draft for resource profile: fileConnector
2009/09/21 09:25:49 -0700 848 | 1253550349 | 41242 | GenApps | ERROR |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 453 Controller :evaluateView: command 'fetch' returned error: Type=XSLAdapterError, command name=fetch, connector name=fileConnector, app id=33, rcode=4
2009/09/21 09:26:04 -0700 157 | 1253550364 | 41209 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 695 fileConnector::fetchRecordData@174 - Failed read file /z/dr/hansdairy/us1/yahoo_site_admin/.interview.draft for resource profile: fileConnector
2009/09/21 09:26:05 -0700 580 | 1253550365 | 41258 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 695 fileConnector::fetchRecordData@174 - Failed read file /z/dr/hansdairy/us1/yahoo_site_admin/.interview.draft for resource profile: fileConnector
2009/09/21 09:26:06 -0700 367 | 1253550366 | 89872 | GenApps | ERROR |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 453 Controller :evaluateView: command 'fetch' returned error: Type=XSLAdapterError, command name=fetch, connector name=fileConnector, app id=33, rcode=4
2009/10/08 14:44:53 -0700 154 | 1255038293 | 34808 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 695 fileConnector::fetchRecordData@174 - Failed read file /z/dr/hansdairy/us1/yahoo_site_admin/.interview.draft for resource profile: fileConnector
2011/11/21 03:55:31 -0800 367 | 1321876531 | 91407 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@174 - Failed read file /z/dr/hansdairy/us1/yahoo_site_admin/.interview for resource profile: fileConnector
2011/11/21 03:55:32 -0800 106 | 1321876532 | 91407 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
